Geographic Area,2016,2019
".Autauga County, Alabama","23,256","23,896"
".Baldwin County, Alabama","111,466","119,412"
".Barbour County, Alabama","11,966","12,080"
".Bibb County, Alabama","9,129","9,261"
".Blount County, Alabama","24,206","24,517"
".Bullock County, Alabama","4,534","4,587"
".Butler County, Alabama","10,042","10,147"
".Calhoun County, Alabama","53,508","53,796"
".Chambers County, Alabama","16,958","17,009"
".Cherokee County, Alabama","16,496","16,715"
".Chilton County, Alabama","19,645","20,056"
".Choctaw County, Alabama","7,322","7,413"
".Clarke County, Alabama","12,735","12,857"
".Clay County, Alabama","6,791","6,833"
".Cleburne County, Alabama","6,805","6,891"
".Coffee County, Alabama","23,075","23,403"
".Colbert County, Alabama","26,447","26,861"
".Conecuh County, Alabama","7,154","7,223"
".Coosa County, Alabama","6,555","6,635"
".Covington County, Alabama","18,936","19,068"
".Crenshaw County, Alabama","6,789","6,862"
".Cullman County, Alabama","37,578","38,252"
".Dale County, Alabama","23,029","23,201"
".Dallas County, Alabama","20,367","20,460"
".DeKalb County, Alabama","31,185","31,593"
".Elmore County, Alabama","33,994","34,475"
".Escambia County, Alabama","16,549","16,645"
".Etowah County, Alabama","47,628","47,855"
".Fayette County, Alabama","8,473","8,540"
".Franklin County, Alabama","14,021","14,126"
".Geneva County, Alabama","12,807","12,955"
".Greene County, Alabama","5,081","5,177"
".Hale County, Alabama","7,742","7,880"
".Henry County, Alabama","9,108","9,255"
".Houston County, Alabama","47,135","48,134"
".Jackson County, Alabama","24,956","25,194"
".Jefferson County, Alabama","307,075","309,697"
".Lamar County, Alabama","7,382","7,431"
".Lauderdale County, Alabama","44,642","45,611"
".Lawrence County, Alabama","15,220","15,363"
".Lee County, Alabama","67,794","71,225"
".Limestone County, Alabama","35,805","36,526"
".Lowndes County, Alabama","5,192","5,274"
".Macon County, Alabama","10,276","10,321"
".Madison County, Alabama","158,927","166,516"
".Marengo County, Alabama","10,309","10,397"
".Marion County, Alabama","14,679","14,806"
".Marshall County, Alabama","40,483","40,791"
".Mobile County, Alabama","182,845","185,035"
