State,County,FIPS code,Year,HPI with 2000 base
AL,Autauga,01001,1986,70.56
AL,Autauga,01001,1987,68.77
AL,Autauga,01001,1988,71.33
AL,Autauga,01001,1989,74.39
AL,Autauga,01001,1990,74.01
AL,Autauga,01001,1991,76.10
AL,Autauga,01001,1992,78.31
AL,Autauga,01001,1993,81.13
AL,Autauga,01001,1994,84.59
AL,Autauga,01001,1995,87.62
AL,Autauga,01001,1996,89.90
AL,Autauga,01001,1997,93.01
AL,Autauga,01001,1998,96.24
AL,Autauga,01001,1999,97.79
AL,Autauga,01001,2000,100.00
AL,Autauga,01001,2001,103.64
AL,Autauga,01001,2002,106.31
AL,Autauga,01001,2003,108.27
AL,Autauga,01001,2004,111.14
AL,Autauga,01001,2005,119.14
AL,Autauga,01001,2006,128.15
AL,Autauga,01001,2007,133.84
AL,Autauga,01001,2008,134.08
AL,Autauga,01001,2009,131.20
AL,Autauga,01001,2010,127.31
AL,Autauga,01001,2011,124.47
AL,Autauga,01001,2012,120.70
AL,Autauga,01001,2013,121.50
AL,Autauga,01001,2014,121.33
AL,Autauga,01001,2015,122.87
AL,Autauga,01001,2016,125.49
AL,Autauga,01001,2017,129.26
AL,Autauga,01001,2018,130.31
AL,Autauga,01001,2019,135.30
AL,Autauga,01001,2020,135.86
AL,Baldwin,01003,1977,41.74
AL,Baldwin,01003,1978,42.41
AL,Baldwin,01003,1979,44.28
AL,Baldwin,01003,1980,53.70
AL,Baldwin,01003,1981,45.37
AL,Baldwin,01003,1982,46.02
AL,Baldwin,01003,1983,58.22
AL,Baldwin,01003,1984,56.54
AL,Baldwin,01003,1985,57.47
AL,Baldwin,01003,1986,56.77
AL,Baldwin,01003,1987,57.06
AL,Baldwin,01003,1988,57.36
AL,Baldwin,01003,1989,59.11
AL,Baldwin,01003,1990,60.65
AL,Baldwin,01003,1991,62.57
AL,Baldwin,01003,1992,65.19
AL,Baldwin,01003,1993,70.63
AL,Baldwin,01003,1994,75.70
AL,Baldwin,01003,1995,81.69
AL,Baldwin,01003,1996,84.43
AL,Baldwin,01003,1997,90.00
AL,Baldwin,01003,1998,93.94
AL,Baldwin,01003,1999,96.65
AL,Baldwin,01003,2000,100.00
AL,Baldwin,01003,2001,104.69
AL,Baldwin,01003,2002,106.36
AL,Baldwin,01003,2003,109.97
AL,Baldwin,01003,2004,115.01
AL,Baldwin,01003,2005,133.52
AL,Baldwin,01003,2006,156.02
AL,Baldwin,01003,2007,159.61
AL,Baldwin,01003,2008,152.43
AL,Baldwin,01003,2009,140.82
AL,Baldwin,01003,2010,123.68
AL,Baldwin,01003,2011,115.98
AL,Baldwin,01003,2012,116.34
AL,Baldwin,01003,2013,117.64
AL,Baldwin,01003,2014,128.14
AL,Baldwin,01003,2015,133.04
AL,Baldwin,01003,2016,140.03
AL,Baldwin,01003,2017,146.52
AL,Baldwin,01003,2018,155.72
AL,Baldwin,01003,2019,165.43
AL,Baldwin,01003,2020,172.92
AL,Barbour,01005,1985,56.71
AL,Barbour,01005,1986,59.87
AL,Barbour,01005,1987,59.23
AL,Barbour,01005,1988,64.29
AL,Barbour,01005,1989,64.45
AL,Barbour,01005,1990,63.00
AL,Barbour,01005,1991,65.00
AL,Barbour,01005,1992,68.18
AL,Barbour,01005,1993,70.74
AL,Barbour,01005,1994,72.21
AL,Barbour,01005,1995,78.01
AL,Barbour,01005,1996,82.84
AL,Barbour,01005,1997,88.34
AL,Barbour,01005,1998,92.68
AL,Barbour,01005,1999,94.55
AL,Barbour,01005,2000,100.00
AL,Barbour,01005,2001,106.27
AL,Barbour,01005,2002,106.94
AL,Barbour,01005,2003,106.83
AL,Barbour,01005,2004,106.56
AL,Barbour,01005,2005,114.40
AL,Barbour,01005,2006,125.01
AL,Barbour,01005,2007,132.32
AL,Barbour,01005,2008,136.16
AL,Barbour,01005,2009,132.31
AL,Barbour,01005,2010,126.45
AL,Barbour,01005,2011,124.60
AL,Barbour,01005,2012,122.86
AL,Barbour,01005,2013,119.45
AL,Barbour,01005,2014,111.33
AL,Barbour,01005,2015,117.93
AL,Barbour,01005,2016,116.46
AL,Barbour,01005,2017,119.96
AL,Barbour,01005,2018,118.09
AL,Barbour,01005,2019,116.60
AL,Barbour,01005,2020,123.74
AL,Bibb,01007,1998,90.73
AL,Bibb,01007,1999,100.65
AL,Bibb,01007,2000,100.00
AL,Bibb,01007,2001,105.92
AL,Bibb,01007,2002,109.95
AL,Bibb,01007,2003,111.03
AL,Bibb,01007,2004,112.55
AL,Bibb,01007,2005,120.05
AL,Bibb,01007,2006,129.58
AL,Bibb,01007,2007,129.55
AL,Bibb,01007,2008,132.94
AL,Bibb,01007,2009,129.88
AL,Bibb,01007,2010,122.60
AL,Bibb,01007,2011,125.49
AL,Bibb,01007,2012,123.85
AL,Bibb,01007,2013,118.57
AL,Bibb,01007,2014,126.53
AL,Bibb,01007,2015,119.44
AL,Bibb,01007,2016,124.15
AL,Bibb,01007,2017,126.75
AL,Bibb,01007,2018,135.50
AL,Bibb,01007,2019,142.07
AL,Bibb,01007,2020,146.75
AL,Blount,01009,1992,71.33
AL,Blount,01009,1993,70.13
AL,Blount,01009,1994,77.18
AL,Blount,01009,1995,81.45
AL,Blount,01009,1996,86.83
AL,Blount,01009,1997,87.98
AL,Blount,01009,1998,93.12
AL,Blount,01009,1999,97.40
AL,Blount,01009,2000,100.00
AL,Blount,01009,2001,104.21
AL,Blount,01009,2002,105.89
AL,Blount,01009,2003,108.10
AL,Blount,01009,2004,110.65
AL,Blount,01009,2005,117.95
AL,Blount,01009,2006,124.21
AL,Blount,01009,2007,125.26
AL,Blount,01009,2008,128.90
AL,Blount,01009,2009,126.95
AL,Blount,01009,2010,120.23
AL,Blount,01009,2011,116.48
AL,Blount,01009,2012,113.88
AL,Blount,01009,2013,115.15
AL,Blount,01009,2014,115.48
AL,Blount,01009,2015,117.38
AL,Blount,01009,2016,118.92
AL,Blount,01009,2017,125.30
AL,Blount,01009,2018,128.52
AL,Blount,01009,2019,133.42
AL,Blount,01009,2020,138.81
AL,Butler,01013,1993,74.31
AL,Butler,01013,1994,80.68
AL,Butler,01013,1995,79.45
AL,Butler,01013,1996,89.36
AL,Butler,01013,1997,88.43
AL,Butler,01013,1998,98.78
AL,Butler,01013,1999,99.58
AL,Butler,01013,2000,100.00
AL,Butler,01013,2001,99.29
AL,Butler,01013,2002,103.67
AL,Butler,01013,2003,105.48
AL,Butler,01013,2004,110.84
AL,Butler,01013,2005,119.83
AL,Butler,01013,2006,120.01
AL,Butler,01013,2007,130.03
AL,Butler,01013,2008,133.20
AL,Butler,01013,2009,128.40
AL,Butler,01013,2010,123.38
AL,Butler,01013,2011,116.84
AL,Butler,01013,2012,120.15
AL,Butler,01013,2013,118.29
AL,Butler,01013,2014,123.78
AL,Butler,01013,2015,117.91
AL,Butler,01013,2016,118.13
