GEO_ID,id
DP04_0004E,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate
DP04_0048E,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit
DP04_0049E,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit
DP04_0037E,Estimate!!ROOMS!!Total housing units!!Median rooms
DP04_0056PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1979 and earlier
DP04_0055PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989
DP04_0054PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999
DP04_0053PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009
DP04_0052PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014
DP04_0051PE,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 or later
DP04_0093PE,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage
DP04_0102PE,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage
DP04_0006PE,Percent!!UNITS IN STRUCTURE!!Total housing units
DP04_0012PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!10 to 19 units
DP04_0008PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!1-unit, attached"
DP04_0007PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!1-unit, detached"
DP04_0009PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!2 units
DP04_0013PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!20 or more units
DP04_0010PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!3 or 4 units
DP04_0011PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!5 to 9 units
DP04_0015PE,"Percent!!UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc."
DP04_0014PE,Percent!!UNITS IN STRUCTURE!!Total housing units!!Mobile home
