,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",State,Arson
0,Autauga,73.0,1.0,12.0,8.0,52.0,429.0,146.0,233.0,50.0,alabama,0.0
1,Baldwin,127.0,1.0,5.0,23.0,98.0,613.0,229.0,342.0,42.0,alabama,0.0
2,Bibb,0.0,0.0,0.0,0.0,0.0,37.0,20.0,14.0,3.0,alabama,0.0
3,Blount,394.0,1.0,17.0,9.0,367.0,867.0,261.0,501.0,105.0,alabama,0.0
4,Calhoun,23.0,0.0,7.0,5.0,11.0,319.0,137.0,181.0,1.0,alabama,0.0
5,Chilton,151.0,0.0,10.0,3.0,138.0,592.0,247.0,295.0,50.0,alabama,0.0
6,Elmore,88.0,4.0,22.0,7.0,55.0,677.0,223.0,408.0,46.0,alabama,0.0
7,Etowah,135.0,1.0,20.0,7.0,107.0,480.0,149.0,255.0,76.0,alabama,0.0
8,Geneva,46.0,1.0,9.0,2.0,34.0,205.0,71.0,106.0,28.0,alabama,0.0
9,Hale,33.0,0.0,2.0,2.0,29.0,139.0,73.0,55.0,11.0,alabama,0.0
10,Henry,13.0,0.0,1.0,1.0,11.0,86.0,34.0,44.0,8.0,alabama,0.0
11,Houston,114.0,4.0,18.0,7.0,85.0,616.0,179.0,395.0,42.0,alabama,0.0
12,Jefferson,693.0,5.0,48.0,173.0,467.0,2659.0,1589.0,919.0,151.0,alabama,31.0
13,Lauderdale,30.0,1.0,2.0,0.0,27.0,285.0,54.0,190.0,41.0,alabama,0.0
14,Lawrence,70.0,0.0,7.0,6.0,57.0,326.0,105.0,189.0,32.0,alabama,0.0
15,Lee,443.0,10.0,21.0,18.0,394.0,1296.0,389.0,807.0,100.0,alabama,0.0
16,Limestone,120.0,0.0,29.0,9.0,82.0,829.0,202.0,565.0,62.0,alabama,0.0
17,Lowndes,51.0,2.0,5.0,9.0,35.0,224.0,96.0,108.0,20.0,alabama,0.0
18,Madison,341.0,2.0,44.0,39.0,256.0,2257.0,576.0,1474.0,207.0,alabama,0.0
19,Mobile,151.0,9.0,13.0,26.0,103.0,2149.0,612.0,1299.0,238.0,alabama,0.0
20,Montgomery,117.0,1.0,4.0,8.0,104.0,360.0,121.0,198.0,41.0,alabama,0.0
21,Morgan,71.0,0.0,10.0,2.0,59.0,373.0,192.0,165.0,16.0,alabama,0.0
22,Russell,66.0,2.0,20.0,5.0,39.0,372.0,124.0,206.0,42.0,alabama,0.0
23,Shelby,111.0,3.0,25.0,8.0,75.0,886.0,251.0,537.0,98.0,alabama,0.0
24,St. Clair,236.0,0.0,20.0,4.0,212.0,541.0,214.0,303.0,24.0,alabama,0.0
