,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,State,Rape
0,Butler,49.0,0.0,1.0,36.0,301.0,61.0,201.0,39.0,3.0,kansas,12.0
1,Doniphan,1.0,0.0,0.0,1.0,8.0,3.0,4.0,1.0,0.0,kansas,0.0
2,Geary,15.0,1.0,0.0,13.0,32.0,8.0,19.0,5.0,0.0,kansas,1.0
3,Harvey,11.0,0.0,1.0,10.0,24.0,12.0,11.0,1.0,0.0,kansas,0.0
4,Jackson,15.0,0.0,0.0,12.0,122.0,17.0,96.0,9.0,1.0,kansas,3.0
5,Jefferson,33.0,0.0,1.0,21.0,224.0,25.0,164.0,35.0,1.0,kansas,11.0
6,Johnson,50.0,0.0,2.0,38.0,220.0,24.0,163.0,33.0,1.0,kansas,10.0
7,Linn,13.0,1.0,0.0,10.0,86.0,26.0,52.0,8.0,1.0,kansas,2.0
8,Osage2,14.0,0.0,1.0,12.0,,,31.0,10.0,1.0,kansas,1.0
9,Pottawatomie,27.0,0.0,1.0,21.0,177.0,42.0,111.0,24.0,4.0,kansas,5.0
10,Riley County Police Department2,263.0,1.0,21.0,209.0,,,998.0,105.0,13.0,kansas,32.0
11,Sedgwick,94.0,2.0,3.0,68.0,205.0,61.0,109.0,35.0,3.0,kansas,21.0
12,Shawnee,87.0,1.0,3.0,75.0,958.0,250.0,589.0,119.0,2.0,kansas,8.0
13,Sumner,12.0,0.0,2.0,8.0,156.0,65.0,75.0,16.0,3.0,kansas,2.0
14,Wabaunsee,14.0,0.0,0.0,12.0,77.0,29.0,45.0,3.0,2.0,kansas,2.0
15,Wyandotte,21.0,0.0,2.0,15.0,92.0,6.0,82.0,4.0,0.0,kansas,4.0
16,Allen,14.0,0.0,0.0,11.0,51.0,22.0,22.0,7.0,0.0,kansas,3.0
17,Anderson,8.0,0.0,0.0,8.0,31.0,13.0,14.0,4.0,0.0,kansas,0.0
18,Barber,6.0,0.0,1.0,5.0,19.0,4.0,13.0,2.0,0.0,kansas,0.0
19,Barton,20.0,1.0,0.0,16.0,69.0,15.0,52.0,2.0,0.0,kansas,3.0
20,Bourbon,10.0,0.0,0.0,10.0,33.0,7.0,19.0,7.0,1.0,kansas,0.0
21,Brown,5.0,0.0,0.0,5.0,16.0,5.0,8.0,3.0,0.0,kansas,0.0
22,Clark,3.0,0.0,0.0,3.0,14.0,1.0,13.0,0.0,0.0,kansas,0.0
23,Clay,2.0,0.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,kansas,0.0
24,Cowley,30.0,0.0,0.0,22.0,125.0,45.0,67.0,13.0,1.0,kansas,8.0
25,Crawford,22.0,1.0,1.0,18.0,157.0,1.0,125.0,31.0,2.0,kansas,2.0
26,Dickinson,23.0,0.0,0.0,21.0,106.0,33.0,64.0,9.0,1.0,kansas,2.0
27,Edwards,0.0,0.0,0.0,0.0,15.0,5.0,9.0,1.0,0.0,kansas,0.0
28,Ellis,14.0,0.0,2.0,12.0,32.0,10.0,20.0,2.0,1.0,kansas,0.0
29,Ellsworth,8.0,0.0,0.0,7.0,47.0,26.0,16.0,5.0,1.0,kansas,1.0
30,Finney,28.0,1.0,2.0,20.0,135.0,28.0,83.0,24.0,1.0,kansas,5.0
31,Ford,13.0,0.0,0.0,13.0,59.0,15.0,34.0,10.0,0.0,kansas,0.0
32,Franklin,52.0,0.0,1.0,45.0,155.0,54.0,81.0,20.0,4.0,kansas,6.0
33,Gove,4.0,0.0,0.0,2.0,7.0,2.0,4.0,1.0,0.0,kansas,2.0
34,Grant,2.0,0.0,0.0,2.0,13.0,5.0,7.0,1.0,0.0,kansas,0.0
