county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
LaSalle County, Illinois,2016,35.1,12.2,6.8,88.5,23.7,8.2,10.6,67.1,26.2,5.4,32.9,4001,95.9,23.7,35.7,9.0,7.5,111935.0,0.7,0.0,1.1,41.8,5.5,24.4,(X),27299,66763,57476,1486,67658,22120,19156,9293,2.7,2.47,2.2,5.8,13.2,7.1,16.8,24.1,22.9,15.9,18098,14152,49868,1.6,2.0,79.3,4.8,2.5,4.3,2.8,0.0,2.7,2.47
McHenry County, Illinois,2016,26.5,23.4,10.3,92.6,23.8,4.3,8.5,72.4,33.4,4.5,27.6,28531,90.0,26.2,32.3,12.3,10.1,307083.0,0.9,0.2,2.0,39.6,5.6,32.4,(X),34654,94250,81063,5029,95409,29106,19516,11040,2.2,2.81,2.57,6.6,5.6,6.1,18.6,30.6,24.5,14.6,63060,22165,117968,1.9,9.8,76.5,1.8,2.6,2.3,4.6,0.0,0.5,2.81
McLean County, Illinois,2016,25.1,27.4,16.5,96.9,19.5,2.0,8.3,62.1,28.0,4.3,37.9,13053,91.5,37.3,40.6,4.7,3.4,173254.0,0.6,0.1,1.4,32.6,6.1,18.3,(X),32521,82471,62156,1653,82280,32053,18604,12843,0.7,2.67,2.23,5.7,5.1,4.7,10.0,27.6,27.5,25.2,28324,14284,71757,8.4,4.7,62.1,3.1,7.5,3.6,6.0,0.0,4.6,2.67
Macon County, Illinois,2016,34.0,13.0,8.6,89.5,24.4,7.1,9.4,61.1,24.8,4.3,38.9,1735,98.0,30.7,32.6,2.1,1.3,108404.0,0.2,0.1,0.6,40.7,6.1,17.3,(X),26729,62668,46198,2218,63336,25897,18112,9602,3.6,2.42,2.17,5.7,11.2,6.7,11.9,24.1,27.3,18.8,15478,14011,50238,3.4,1.8,77.4,1.3,5.8,2.5,4.9,0.0,2.8,2.42
Madison County, Illinois,2016,28.8,16.5,9.9,92.5,26.8,6.0,10.6,63.3,26.2,4.7,36.7,7804,96.7,28.1,32.8,3.0,2.3,266759.0,0.2,0.1,0.7,39.7,5.9,24.7,(X),29450,73318,56035,1672,72804,25648,19067,9247,3.3,2.56,2.22,5.7,8.9,7.7,15.1,27.1,25.1,16.1,47130,28567,118637,2.7,2.3,78.7,3.0,2.7,4.9,2.9,0.0,2.7,2.56
Peoria County, Illinois,2016,26.5,19.2,11.5,90.5,24.1,7.4,9.2,61.8,27.0,3.3,38.2,10138,93.9,32.0,36.9,4.5,3.5,186818.0,0.2,0.0,1.8,36.9,6.9,18.1,(X),29087,71145,51975,2243,72818,29517,17905,9304,4.1,2.56,2.26,5.6,9.0,6.4,11.1,25.2,29.3,19.0,28366,18077,83501,6.6,3.0,71.9,3.2,8.1,2.2,3.8,0.0,1.3,2.56
Rock Island County, Illinois,2016,28.4,16.0,6.9,89.2,27.3,7.7,10.6,64.4,26.6,4.7,35.6,9379,92.4,25.4,33.8,12.3,10.8,146536.0,0.8,0.1,3.1,40.1,6.3,19.9,(X),27490,65040,50948,1601,64419,27859,18619,10511,1.8,2.36,2.25,5.6,9.6,8.3,14.6,25.7,25.6,16.3,24825,17068,65887,4.6,3.0,71.3,2.4,7.4,2.9,5.3,0.0,3.2,2.36
St. Clair County, Illinois,2016,29.6,16.4,11.7,91.9,23.3,5.6,10.9,64.5,25.3,5.0,35.5,9586,95.2,32.6,36.7,3.8,2.7,265569.0,0.4,0.1,1.1,37.8,6.4,25.0,(X),29723,73193,50267,3931,74367,25727,17491,10256,2.6,2.55,2.33,5.6,8.9,5.2,12.5,25.8,27.6,20.0,43029,23260,119209,3.0,3.1,70.8,3.5,2.9,5.3,6.5,0.0,5.0,2.55
Sangamon County, Illinois,2016,26.4,22.0,13.7,92.3,22.0,5.4,8.2,60.7,25.2,4.0,39.3,6178,96.5,29.4,36.9,2.1,1.2,198639.0,0.4,0.1,0.9,39.9,5.9,19.9,(X),31576,73785,53782,1513,71792,33053,18370,10504,0.9,2.43,2.1,5.5,7.7,6.2,15.6,24.9,26.7,18.9,35807,22602,90975,2.8,3.6,71.8,3.3,6.1,3.6,3.3,0.0,5.4,2.43
Tazewell County, Illinois,2016,31.2,17.0,6.8,91.5,24.9,5.5,11.7,67.8,28.3,4.6,32.2,2011,98.0,22.3,27.5,2.2,1.6,135400.0,0.2,0.1,0.5,40.6,6.0,21.2,(X),31303,74437,60152,3120,76187,21185,19271,10162,1.3,2.46,1.98,5.7,10.4,5.8,13.8,26.8,26.5,16.6,25944,17112,58755,1.7,2.6,81.3,1.8,3.2,3.0,3.8,0.0,2.5,2.46
