City,State,avg_monthly_rent,pct_chg_val,med_home_val,best_time_sell,affordability,days_to_sell,job_market,public_school_ranking,top_ibs,ntop_ibs,nlocal_ibs
Miami,FL,1738,1.50,335000,June,95.6,150.458,Fair,26,Zillow Offers,1,2
Chicago,IL,1906,-0.60,226400,June,168.1,96.875,Weak,16,,0,2
Aspen,CO,1788,2.70,1786530,July,146,72.667,Fair,17,,0,3
Anderson,SC,825,4.1,156992,June,High,83,Weak,41,,0,3
Tampa,FL,1315,3.20,218900,July,144.3,78.8333,Fair,26,"Zillow Offers, Opendoor, Offerpad",3,3
Phoenix,AZ,1041,4.50,242100,November,141.2,60.5,Strong,49,"Zillow Offers, Opendoor, Offerpad",3,3
Atlanta,GA,1382,6.6,257700,June,182.9,63.75,Fair,35,"Zillow Offers, Opendoor, Offerpad",3,3
Amarillo,TX,754,2.30,135166,June,High,63.96,Weak,33,,0,3
Akron,OH,835,6.70,73012,June,High,79.25,Weak,28,,0,3
Dallas,TX,1208,9.9,212200,June,157.9,68,Strong,33,"Zillow Offers, Opendoor, Offerpad",3,3
Boise,ID,1186,12.4,307500,August,138.2,47.54,Strong,32,,0,2
Altamonte Springs,FL,1250,5.40,211445,December,145,71.96,Strong,26,,0,3
Burlington,NC,902,4.3,128293,July,High,73,Fair,51,Offerpad,1,3
Anaheim,CA,1795,1.00,596100,May,60.7,58.417,Weak,38,Offerpad,1,2
Arlington,TX,1038,4.40,218707,December,High,47.08,Strong,33,,0,3
Augusta,GA,879,4.3,110364,August,Low,63,Fair,47,,0,3
Boston,MA,3111,2.50,594600,June,116.6,66.125,Strong,1,,0,2
Castle Rock,CO,1599,1.10,478549,July,61,60.79,Fair,38,,0,1
Aurora,CO,1359,3.50,329900,June,109.2,48.833,Fair,17,,0,2
Baton Rouge,LA,1026,0.5,183015,July,Fair,48,Weak,35,,0,3
Baltimore,MD,1268,1.10,151928,May,High,98.5,Weak,19,,0,3
Bakersfield,CA,1060,4.00,252161,August,Moderate,68,Weak,38,,0,3
Arvada,CO,1431,2.20,190179,June,94,50.208,Fair,17,,0,3
Buffalo,NY,1064,9.90,104871,March,High,88.17,Weak,24,,0,3
Houston,TX,1294,4.50,186700,June,164.1,79.25,Fair,33,"Zillow Offers, Opendoor, Offerpad",3,3
Casselberry,FL,1219,5.30,235926,August,143,67.21,Strong,26,,0,3
Cambridge,MA,3191,2.10,853197,April,116.6,54.042,Strong,1,,0,3
Brownsville,TX,725,3.5,102365,June,High,59,Weak,33,,0,3
Alexandria,VA,1771,6.3,551395,April,High,22,Fair,64,,0,3
Cary,NC,1220,1.4,385638,July,Fair/p>,48,Strong,51,Offerpad,1,3
Anchorage,AK,1043,8.90,332201,October,Moderate,94.75,Weak,42,,0,3
Cincinnati,OH,978,7.80,144200,September,236.6,74.417,Weak,28,"Zillow Offers, Opendoor",2,2
Austin,TX,1369,6.20,370700,November,152.6,60.25,Strong,33,"Zillow Offers, Opendoor, Offerpad",3,3
Baytown,TX,940,3.6,163785,June,Fair,52,Fair,52,Offerpad,1,3
Boulder,CO,1977,2.60,788925,April,93.2,49.208,Fair,17,,0,2
Albuquerque,NM,919,6.30,211574,June,High,73.5,Strong,51,,0,3
Birmingham,AL,968,10.6,64840,June,Fair,42,Weak,44,Offerpad,1,3
Bonita Springs,FL,1402,0.90,335700,February,90.5,122.5,Fair,26,,0,2
Bradenton,FL,1281,1.7,237115,December,Fair,87,Fair,54,Offerpad,1,3
Chandler,AZ,1390,7.6,347832,June,Fair,47,Fair,37,Offerpad,1,3
Charleston,SC,1378,0,319000,July,141.1,84.25,Fair,39,,0,2
Charlotte,NC,1187,6.70,226100,June,160.5,56.833,Strong,31,"Zillow Offers, Opendoor, Offerpad",3,3
Los Angeles,CA,2384,2,688700,July,63.4,65.583,Weak,38,"Zillow Offers, Opendoor, Offerpad",3,2
Brighton,CO,1433,0.50,364887,December,93,71.58,Fair,17,,0,1
Broomfield,CO,1644,1.10,475349,March,74,53.38,Fair,38,,0,2
Chattanooga,TN,1009,6.90,154200,July,191.3,65.292,Fair,34,,0,2
Bridgeport,CT,1121,7.4,206963,June,Fair/p>,64,Weak,66,,0,3
Canton,OH,529,7.20,108415,June,High,69.96,Weak,28,,0,2
Chula Vista,CA,1814,5.60,561532,November,Low,57.42,Fair,38,,0,3
Cape Canaveral,FL,795,3.60,226200,November,146.7,92.5,Strong,26,Offerpad,1,2
Chesapeake,VA,1252,2.9,283520,July,Fair,73,Fair,64,,0,3
Campbell,CA,2586,-7.20,1270963,March,146,49.83,Fair,38,,0,2
Cape Coral,FL,1317,1.9,237432,December,Fair,93,Fair,53,,0,3
Centennial,CO,1653,2.80,485980,June,124,48.79,Fair,17,,0,3
Cleveland,OH,1091,7.70,66851,June,High,72.71,Weak,28,,0,3
Clarksville,TN,894,6.0,183230,September,High,55,Fair,36,,0,3
Clearwater,FL,1218,5.30,217700,August,144.3,75.67,Fair,26,Offerpad,1,2
Columbus,GA,896,4.6,105558,May,High,95,Weak,34,,0,3
