"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2016","A","",122310,1915306,85866639650,14618329555,235862377,862,44832,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3059,2.6,24966,1.3,2176113606,2.6,328938072,2.3,-59414449,-20.1,11,1.3,559,1.3
"01000","1","10","51","0","2016","A","",1194,53306,4254167196,0,0,1535,79807,"",1.57,1.41,1.72,0.00,0.00,1.22,1.22,"",9,0.8,292,0.6,55113343,1.3,0,0.0,0,0.0,12,0.8,601,0.8
"01000","2","10","51","0","2016","A","",1365,94809,4866121431,56324,333,987,51325,"",1.57,1.54,1.65,0.00,0.00,1.07,1.07,"",3,0.2,462,0.5,101982458,2.1,-721,-1.3,-174,-34.3,16,1.6,829,1.6
"01000","3","10","51","0","2016","A","",3719,211648,8448406174,130545018,1382619,768,39917,"",1.74,1.12,1.10,0.65,1.03,0.99,0.99,"",19,0.5,835,0.4,185813964,2.2,4326895,3.4,-428761,-23.7,14,1.9,723,1.8
"01000","5","10","51","0","2016","A","",116033,1555542,68297944849,14487728213,234479425,844,43906,"",0.98,0.96,0.94,1.01,1.00,0.98,0.98,"",3028,2.7,23375,1.5,1833203841,2.8,324611898,2.3,-58985514,-20.1,10,1.2,526,1.2
"01000","8","10","96","0","2016","A","",6278,359764,17568694801,130601342,1382952,939,48834,"",1.67,1.25,1.34,0.45,0.91,1.08,1.08,"",32,0.5,1591,0.4,342909765,2.0,4326174,3.4,-428935,-23.7,14,1.5,741,1.5
"01001","0","10","70","0","2016","A","",860,10739,390543141,73703716,1099666,699,36366,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,1.8,152,1.4,18421233,5.0,3381529,4.8,-231858,-17.4,23,3.4,1218,3.5
"01001","1","10","71","0","2016","A","",12,81,4130332,0,0,979,50887,"",2.25,0.38,0.37,0.00,0.00,0.96,0.96,"",1,9.1,4,5.2,-44361,-1.1,0,0.0,0,0.0,-65,-6.2,-3389,-6.2
"01001","2","10","71","0","2016","A","",19,549,23184865,0,0,812,42225,"",3.10,1.59,1.73,0.00,0.00,1.09,1.09,"",1,5.6,34,6.6,1595994,7.4,0,0.0,0,0.0,6,0.7,305,0.7
"01001","3","10","71","0","2016","A","",32,1916,67914727,124595,735,682,35438,"",2.13,1.81,1.95,0.12,0.12,1.08,1.08,"",0,0.0,13,0.7,45539,0.1,7987,6.8,-302,-29.1,-4,-0.6,-223,-0.6
